Year,xwOBA,xBA,xSLG,xISO,xOBP,Brl,Brl%,EV,Max EV,"Hard
Hit%",K%,BB%,Whiff%,"Chase
Rate",Speed,OAA,"Arm
Strength"
2015,94,80,90,88,96,88,73,50,88,65,78,88,62,38,32,,
2016,87,62,82,81,88,87,75,51,91,46,74,83,64,44,31,,
2017,96,87,89,82,99,93,73,59,93,70,92,89,78,46,27,92,
2018,88,94,79,58,96,68,44,74,88,68,94,73,85,39,24,88,
2019,94,95,73,49,99,54,39,45,91,38,88,82,80,28,20,61,
2020,71,70,45,33,91,66,49,30,96,29,84,75,84,26,10,88,8
2021,70,63,54,49,81,55,43,67,95,49,87,52,75,36,19,93,11
2022,84,35,81,88,87,78,76,57,91,56,69,79,60,46,14,17,9
