,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,548,465,77,104,32,75,6,.224,.338,.480,.818
12 Seasons,6540,5578,839,1476,283,889,72,.265,.366,.481,.847
