Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,23.6,35,38.3,-3,16,25,19,54.3
2017,,23.4,33,33.5,-1,10,21,17,51.5
2018,,23.9,25,21.5,4,7,8,15,60.0
2019,,24.6,27,24.4,3,6,16,13,48.1
2020,,23.8,11,10.4,1,4,8,4,36.4
2021,,24.5,23,24.6,-2,8,13,15,65.2
2022,,25.2,34,29.9,4,10,22,13,38.2
Player,,24.2,188,182.4,6,61,113,96,51.1
