Name,Year,0ft,5ft,10ft,15ft,20ft,25ft,30ft,35ft,40ft,45ft,50ft,55ft,60ft,65ft,70ft,75ft,80ft,85ft,90ft
"Rizzo, Anthony - LHB",2015,0.00,0.53,0.83,1.09,1.34,1.58,1.80,2.02,2.22,2.43,2.62,2.81,3.00,3.19,3.38,3.57,3.75,3.95,4.14
"Rizzo, Anthony - LHB",2016,0.00,0.54,0.84,1.11,1.36,1.60,1.82,2.03,2.23,2.43,2.62,2.82,3.00,3.19,3.38,3.56,3.75,3.94,4.13
"Rizzo, Anthony - LHB",2017,0.00,0.54,0.85,1.12,1.38,1.62,1.85,2.06,2.27,2.47,2.67,2.86,3.06,3.25,3.44,3.63,3.82,4.01,4.21
"Rizzo, Anthony - LHB",2018,0.00,0.54,0.85,1.13,1.39,1.63,1.85,2.07,2.28,2.48,2.68,2.87,3.06,3.25,3.44,3.63,3.82,4.01,4.21
"Rizzo, Anthony - LHB",2019,0.00,0.56,0.87,1.15,1.41,1.65,1.88,2.10,2.31,2.52,2.72,2.92,3.11,3.30,3.50,3.69,3.88,4.08,4.28
"Rizzo, Anthony - LHB",2020,0.00,0.58,0.93,1.22,1.48,1.72,1.95,2.17,2.38,2.59,2.79,2.99,3.19,3.38,3.57,3.76,3.96,4.16,4.37
"Rizzo, Anthony - LHB",2021,0.00,0.56,0.89,1.17,1.42,1.65,1.88,2.10,2.31,2.51,2.71,2.91,3.10,3.30,3.49,3.68,3.87,4.07,4.26
"Rizzo, Anthony - LHB",2022,0.00,0.56,0.89,1.17,1.42,1.65,1.88,2.09,2.30,2.50,2.70,2.89,3.09,3.28,3.47,3.66,3.85,4.05,4.26

