Season,Team,Pos,PA,Depth (ft.),Angle
2016,CHC,4,1,89,44
2016,CHC,3,5275,114,34
2017,CHC,3,5644,113,35
2017,CHC,4,10,67,26
2017,CHC,5,6,127,-30
2018,CHC,3,5580,113,35
2018,CHC,4,1,89,36
2019,CHC,3,5187,111,35
2020,CHC,3,1955,112,35
2021,CHC,4,1,88,41
2021,CHC,3,3347,112,36
2021,NYY,3,1729,112,35
2022,NYY,3,4189,113,34
