,Season,Tm,LG,G,PA,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,HBP,AVG,OBP,SLG,OPS
,2011,SD,NL,49,153,128,9,18,8,1,1,9,21,46,2,1,4,.141,.281,.242,.523
,2012,CHC,NL,87,368,337,44,96,15,0,15,48,27,62,3,2,3,.285,.342,.463,.805
,2013,CHC,NL,160,690,606,71,141,40,2,23,80,76,127,6,5,6,.233,.323,.419,.742
*,2014,CHC,NL,140,616,524,89,150,28,1,32,78,73,116,5,4,15,.286,.386,.527,.913
*,2015,CHC,NL,160,701,586,94,163,38,3,31,101,78,105,17,6,30,.278,.387,.512,.899
*,2016,CHC,NL,155,676,583,94,170,43,4,32,109,74,108,3,5,16,.292,.385,.544,.929
,2017,CHC,NL,157,691,572,99,156,32,3,32,109,91,90,10,4,24,.273,.392,.507,.899
,2018,CHC,NL,153,665,566,74,160,29,1,25,101,70,80,6,4,20,.283,.376,.470,.846
,2019,CHC,NL,146,613,512,89,150,29,3,27,94,71,86,5,2,27,.293,.405,.520,.925
,2020,CHC,NL,58,243,203,26,45,6,0,11,24,28,38,3,1,10,.222,.342,.414,.756
,2021,CHC,NL,92,376,323,41,80,16,3,14,40,36,59,4,2,14,.248,.346,.446,.792
,2021,NYY,AL,49,200,173,32,43,7,0,8,21,16,28,2,0,9,.249,.340,.428,.768
,2021,2 Teams,,141,576,496,73,123,23,3,22,61,52,87,6,2,23,.248,.344,.440,.784
,2022,NYY,AL,130,548,465,77,104,21,1,32,75,58,101,6,5,23,.224,.338,.480,.818
,12 Seasons,3 Teams,,1536,6540,5578,839,1476,312,22,283,889,719,1046,72,41,201,.265,.366,.481,.847
