PITCHERS - HOU,IP,H,R,ER,BB,SO,HR,ERA
"Valdez, F(W, 2-0)",6.1,4,1,1,3,9,0,1.42
Montero,1.2,1,0,0,1,1,0,1.13
Pressly,1.0,1,1,0,0,1,0,0.00
,9.0,6,2,1,4,11,0,
