BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KimSS,4,1,1,1,0,0,0,.239,.693
Cronenworth2B,3,1,1,2,0,2,0,.243,.736
"Machado, M3B",4,0,2,0,0,0,1,.307,.906
AlfaroC,3,0,2,1,1,1,1,.275,.743
Hosmer1B,3,0,0,0,1,0,3,.273,.714
VoitDH,4,0,0,0,0,2,3,.218,.707
MazaraRF,4,0,0,0,0,0,2,.314,.797
"Ruiz, ELF",4,1,1,0,0,1,0,.333,.916
GrishamCF,3,2,1,1,1,1,0,.192,.629
,32,5,8,5,3,7,10,,
