PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Freeland,4.0,6,5,5,3,3,1,4.96
"Chacín(W, 4-2)",2.0,1,0,0,0,1,0,7.23
"Bird(H, 3)",2.0,1,0,0,0,2,0,3.95
"Estévez(S, 1)",1.0,0,0,0,0,1,0,4.45
,9.0,8,5,5,3,7,1,
