BATTERS - CHC,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Madrigal2B,5,0,3,1,0,1,0,.250,.580
ContrerasC,4,0,0,0,1,0,4,.250,.819
Wisdom3B,3,1,1,0,1,1,0,.220,.759
"Suzuki, SRF",3,1,1,1,2,1,2,.250,.751
HoernerSS,4,1,1,1,1,1,4,.299,.761
HappLF,4,0,2,1,0,2,4,.278,.790
"Velazquez, NDH",4,1,1,0,0,1,4,.240,.790
Higgins1B,4,0,1,0,0,2,1,.280,.867
MorelCF,3,0,0,0,0,2,2,.260,.783
a-OrtegaPH-CF,1,0,0,0,0,1,1,.230,.659
,35,4,10,4,5,12,22,,
