PITCHERS - MIL,IP,H,R,ER,BB,SO,HR,ERA
"Burnes(W, 4-4)",6.0,5,2,2,0,8,1,2.52
"Sánchez, M",1.0,0,0,0,3,1,0,4.22
Strzelecki,2.0,0,0,0,0,3,0,1.80
,9.0,5,2,2,3,12,1,
