BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
ProfarLF,4,0,0,0,0,2,0,.243,.733
Cronenworth2B,4,0,1,0,0,1,0,.240,.725
"Machado, M3B",4,0,0,0,0,1,1,.297,.890
Drury1B,4,0,1,0,0,0,1,.263,.817
BellDH,4,0,2,0,0,1,1,.277,.825
KimSS,4,0,2,0,0,0,1,.255,.708
MyersRF,4,0,0,0,0,1,5,.243,.603
GrishamCF,2,0,0,0,1,1,2,.194,.657
AlfaroC,3,0,0,0,0,2,5,.252,.682
,33,0,6,0,1,9,16,,
