BATTERS - TEX,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Semien2B,5,0,0,0,0,0,4,.241,.701
SeagerSS,3,0,0,0,1,1,0,.248,.799
HeimC,4,0,0,0,0,1,2,.265,.790
"García, AdRF",3,1,1,1,1,0,2,.249,.761
"Lowe, N1B",4,1,2,1,0,0,3,.272,.766
TaverasCF,4,0,1,0,0,2,1,.337,.904
CalhounDH,3,0,0,0,1,2,1,.221,.666
1-CulbersonPR,0,0,0,0,0,0,0,.253,.573
"Duran, E3B",3,1,1,0,1,1,2,.266,.719
"Smith, JoshLF",4,0,1,0,0,0,3,.208,.584
,33,3,6,2,4,7,18,,
