PITCHERS - TEX,IP,H,R,ER,BB,SO,HR,ERA
"Otto(L, 4-7)",5.1,7,3,3,1,5,1,5.37
Burke,1.1,1,1,1,1,2,0,1.27
"Santana, D",0.1,0,0,0,0,1,0,4.23
Leclerc,1.0,0,0,0,1,3,0,4.96
,8.0,8,4,4,3,11,1,
