PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Winckowski(L, 3-3)",5.0,6,6,6,5,2,2,4.35
Strahm,1.1,0,0,0,0,3,0,3.81
Schreiber,0.2,0,0,0,0,2,0,0.64
Brasier,1.0,0,0,0,0,0,0,4.02
"Davis, A",1.0,1,0,0,0,0,0,2.16
,9.0,7,6,6,5,7,2,
