Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
FCL Astros,Rookie,First Inning,,,0.00,1,,,1.0,4,1,0,0,0,0,3,1.00
Sugar Land Skeeters,Triple-A,First Inning,,,4.50,2,,,2.0,8,2,1,1,1,0,2,1.00
Corpus Christi Hooks,Double-A,First Inning,,,0.00,1,,,1.0,4,1,0,0,0,2,0,3.00
FCL Astros,Rookie,Second Inning,,,0.00,1,,,1.0,4,0,0,0,0,0,1,0.00
Sugar Land Skeeters,Triple-A,Second Inning,,,0.00,2,,,2.0,6,0,0,0,0,0,2,0.00
Corpus Christi Hooks,Double-A,Second Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
FCL Astros,Rookie,Third Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,2,0.00
Sugar Land Skeeters,Triple-A,Third Inning,,,0.00,2,,,2.0,6,0,0,0,0,0,4,0.00
Corpus Christi Hooks,Double-A,Third Inning,,,0.00,1,,,1.0,3,0,0,0,0,0,1,0.00
Sugar Land Skeeters,Triple-A,Fourth Inning,,,4.50,2,,,2.0,8,2,1,1,1,0,1,1.00
Corpus Christi Hooks,Double-A,Fourth Inning,,,0.00,1,,,0.2,3,1,0,0,0,0,0,1.50
Sugar Land Skeeters,Triple-A,Fifth Inning,,,0.00,1,,,1.0,4,1,0,0,0,0,2,1.00
