PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
"Lynch(L, 4-10)",3.2,10,6,6,0,4,2,5.14
Cuas,0.1,0,0,0,0,0,0,3.44
"Keller, B",2.0,3,2,1,2,3,1,5.24
Weaver,2.0,2,1,1,0,3,0,7.24
Misiewicz,1.0,2,1,1,1,0,0,5.89
,9.0,17,10,9,3,10,3,
