PITCHERS - ATL,IP,H,R,ER,BB,SO,HR,ERA
"Anderson, I",5.1,2,2,2,4,5,0,4.98
"Lee, D(BS, 2)",0.2,1,1,1,0,1,1,1.50
O'Day,0.1,1,0,0,1,0,0,3.92
Matzek,1.2,0,0,0,0,1,0,3.52
Chavez,2.0,0,0,0,0,1,0,2.89
"McHugh(W, 2-1)",2.0,1,0,0,1,1,0,3.32
,12.0,5,3,3,6,9,1,
