BATTERS - SD,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
GrishamCF,4,1,1,0,1,0,0,.190,.451
"Nola, AuC",5,1,1,1,0,2,3,.333,.866
"Machado, M3B",4,1,1,1,1,2,1,.250,.698
Cronenworth2B,5,0,2,1,0,1,2,.222,.540
VoitDH,3,0,1,0,1,2,0,.231,.776
MyersRF,5,0,0,0,0,1,7,.100,.293
Hosmer1B,3,0,2,0,1,1,2,.533,1.296
ProfarLF,4,0,1,1,0,1,4,.357,1.257
AzocarLF,0,0,0,0,0,0,0,.500,1.000
KimSS,4,1,1,0,0,1,3,.222,.861
,37,4,10,4,4,11,22,,
