PITCHERS - SD,IP,H,R,ER,BB,SO,HR,ERA
"Martinez, N",5.0,5,1,1,1,6,0,1.80
"Wilson, S(W, 2-0)(BS, 1)",1.0,2,1,1,1,1,0,4.50
"Stammen(H, 1)",1.0,1,0,0,0,0,0,4.50
"Johnson(H, 3)",1.0,1,0,0,2,2,0,0.00
"Rogers(S, 3)",1.0,1,0,0,0,2,0,0.00
,9.0,10,2,2,4,11,0,
