PITCHERS - KC,IP,H,R,ER,BB,SO,HR,ERA
Heasley,6.0,3,2,1,2,3,0,4.76
"Mills, W(H, 2)",1.0,1,2,2,2,0,0,5.06
"Garrett, A",0.0,1,2,2,2,0,0,6.75
"Clarke(BS, 3)",1.0,1,0,0,0,2,0,4.33
"Barlow, S(L, 2-2)",0.2,1,1,1,0,0,1,2.45
,8.2,7,7,6,6,5,1,
