BATTERS - HOU,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Altuve2B,5,0,1,1,0,0,1,.278,.895
PeñaSS,4,2,1,0,1,0,1,.278,.804
"Alvarez, YDH",3,2,1,1,2,2,0,.310,1.063
Bregman3B,2,1,0,0,2,0,0,.237,.753
TuckerRF,3,0,1,3,0,0,0,.259,.841
Gurriel1B,4,0,1,1,0,0,2,.226,.670
MeyersCF,4,1,1,0,0,0,2,.273,.728
DubónLF,4,1,1,1,0,2,2,.224,.605
"Lee, KC",2,0,0,0,1,0,1,.000,.200
a-DíazPH,1,0,0,0,0,1,2,.211,.552
MaldonadoC,0,0,0,0,0,0,0,.151,.521
,32,7,7,7,6,5,11,,
