BATTERS - MIL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
YelichLF,2,0,0,1,3,0,1,.260,.749
AdamesSS,5,0,1,1,0,2,6,.230,.752
TellezDH,5,0,0,0,0,3,6,.229,.791
RenfroeRF,4,1,2,0,1,0,1,.258,.829
"Wong, Ko2B",4,1,1,0,1,2,3,.253,.769
Hiura1B,5,2,2,1,0,1,2,.247,.851
"Urías, L3B",5,1,2,1,0,0,4,.221,.702
NarváezC,3,0,0,1,1,0,1,.221,.652
"Taylor, TCF",1,1,0,0,2,0,0,.220,.687
a-MitchellPH-CF,0,0,0,1,1,0,0,.222,.920
,34,6,8,6,9,8,24,,
