PITCHERS - OAK,IP,H,R,ER,BB,SO,HR,ERA
Irvin,7.0,3,0,0,0,11,0,3.16
"Jackson, Z(H, 26)",0.2,1,1,1,1,1,0,3.00
"Jiménez, D(BS, 3)",1.1,1,1,1,0,0,1,3.41
"Puk(W, 3-1)",1.0,0,0,0,1,2,0,2.63
,10.0,5,2,2,2,14,1,
