PITCHERS - MIA,IP,H,R,ER,BB,SO,HR,ERA
Luzardo,7.0,3,2,2,2,4,0,3.34
Okert,1.0,0,0,0,0,1,0,2.51
Floro,1.0,1,0,0,0,2,0,3.57
"Bleier(L, 2-2)",0.1,0,1,0,0,0,0,3.62
,9.1,4,3,2,2,7,0,
