PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Márquez,6.0,4,2,2,3,3,1,5.18
"Gilbreath(H, 10)",0.1,1,2,2,3,0,0,3.82
"Stephenson, R(H, 6)",0.2,0,0,0,0,1,0,5.30
"Colomé(L, 2-5)(BS, 3)",1.0,3,2,2,0,0,0,3.67
,8.0,8,6,6,6,4,1,
