BATTERS - AZ,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Rojas, J3B",4,1,1,2,1,1,1,.268,.739
"Kennedy, IP",0,0,0,0,0,0,0,.000,.000
"Thomas, ACF",3,0,1,0,1,0,1,.258,.729
"Marte, K2B",4,0,1,1,0,1,3,.257,.791
"Walker, CDH-1B",4,0,0,0,0,1,4,.199,.744
VarshoRF,2,1,1,1,2,0,0,.240,.742
McCarthyLF,4,1,1,0,0,0,3,.265,.732
Beer1B,2,0,1,0,0,1,0,.196,.540
a-RiveraPH-1B-3B,1,2,1,0,1,0,0,.236,.685
"Kelly, CC",4,0,0,0,0,0,4,.223,.668
PerdomoSS,3,1,1,2,1,0,1,.201,.578
,31,6,8,6,6,4,17,,
