PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
Gonsolin,4.0,3,3,2,1,5,0,1.59
Bruihl,1.0,0,0,0,0,1,0,2.35
"Phillips, E",1.0,0,0,0,1,1,0,2.45
Vesia,1.0,0,0,0,0,2,0,0.00
"Graterol(L, 0-1)",1.0,1,2,2,1,1,1,2.70
,8.0,4,5,4,3,10,1,
