PITCHERS - TB,IP,H,R,ER,BB,SO,HR,ERA
"Rasmussen(L, 6-4)",6.0,6,1,1,2,3,0,3.06
"Raley, B",1.0,0,0,0,0,1,0,2.70
Adam,1.0,0,0,0,0,1,0,1.30
Armstrong,1.0,2,2,2,1,1,0,5.57
,9.0,8,3,3,3,6,0,
