Season,Team,Pos,PA,Depth (ft.),Angle
2017,COL,4,19,156,17
2017,COL,3,154,111,36
2017,COL,5,17,120,-31
2018,COL,4,304,150,12
2018,COL,5,389,118,-29
2018,COL,3,812,110,35
2019,COL,3,583,108,34
2019,COL,5,507,121,-28
2019,COL,4,3816,152,12
2020,COL,5,400,120,-28
2020,COL,4,1074,151,13
2020,COL,3,389,111,34
2020,COL,6,18,145,-12
2021,COL,4,1592,153,13
2021,COL,5,3667,123,-30
2022,COL,5,5161,120,-29
2022,COL,4,352,152,13
2022,COL,3,4,105,37
