Season,Age,Sprint Speed (ft/s),HP to 1st,Bolts,Pos Rank,Age Rank,Lg Rank,% Rank
2017,22,25.8,,,32,16,483,28.2
2018,23,25.9,4.53,,38,39,472,29.6
2019,24,26.4,4.51,,64,52,405,40.8
2020,25,25.9,4.61,,55,49,363,27.6
2021,26,26.2,4.58,,47,60,448,33.8
2022,27,25.8,4.61,,60,75,517,17.2
