 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2017,,24,103,-1,-1,1,1,-1
2018,,202,799,0,-7,4,3,-1
2019,,537,"2,248",12,-31,9,8,-1
2020,,193,841,2,-5,3,6,5
2021,,594,"2,388",4,-25,16,12,7
2022,,597,"2,559",-14,-12,19,9,3
