PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"Gonsolin(L, 11-1)",6.0,6,4,4,3,4,1,2.26
Price,1.0,2,0,0,0,1,0,3.28
Moronta,1.0,0,0,0,2,3,0,4.67
Ferguson,1.0,0,0,0,1,1,0,0.00
,9.0,8,4,4,6,9,1,
