PITCHERS - WSH,IP,H,R,ER,BB,SO,HR,ERA
Espino,4.0,4,1,1,0,2,1,3.48
"Machado, A(W, 1-0)",1.0,0,0,0,1,2,0,4.62
"Arano(H, 5)",1.0,0,0,0,0,1,0,4.97
"Harvey, H(H, 1)",1.0,1,0,0,0,1,0,3.52
"Edwards Jr.(H, 8)",1.0,2,0,0,0,1,0,2.95
"Finnegan(S, 3)",1.0,1,0,0,0,1,0,3.66
,9.0,8,1,1,1,8,1,
