BATTERS - CLE,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
KwanLF,5,0,2,0,0,0,2,.287,.738
"Rosario, ASS",5,0,4,2,0,1,0,.280,.709
"Ramírez, Jo3B",5,1,1,1,0,0,7,.281,.890
"Naylor, JDH",4,0,1,0,0,1,3,.258,.755
"Gonzalez, ORF",4,1,2,0,0,0,2,.303,.819
Gimenez2B,3,1,2,0,1,0,1,.301,.848
"Miller, O1B",4,0,1,2,0,1,4,.249,.656
HedgesC,4,0,0,0,0,1,2,.179,.529
StrawCF,2,2,1,0,2,0,1,.214,.548
,36,5,14,5,3,4,22,,
