PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Keller, M(W, 2-5)",5.0,2,2,2,5,5,1,5.77
"Beede(H, 1)",0.2,1,1,0,1,2,0,5.65
"Underwood Jr.(H, 3)",1.1,1,0,0,1,1,0,2.92
"Stratton(H, 5)",1.0,0,0,0,0,3,0,4.34
"Crowe(S, 2)",1.0,0,0,0,0,0,0,2.35
,9.0,4,3,2,7,11,1,
