BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
Hayes3B,4,1,1,0,1,1,2,.293,.762
"Reynolds, BCF",5,0,1,1,0,1,3,.212,.690
Chavis1B,4,1,2,2,1,0,1,.293,.831
"Castillo, D2B",3,0,1,0,0,2,0,.233,.604
a-VanMeterPH-2B,2,0,0,0,0,1,3,.211,.637
"Castro, RSS",4,0,1,0,0,3,0,.180,.511
ChangDH,4,0,0,0,0,3,3,.000,.000
SuwinskiRF,4,0,1,0,0,2,3,.186,.619
HeinemanC,4,2,3,0,0,0,1,.222,.541
MarcanoLF,3,1,1,2,0,0,2,.353,1.154
,37,5,11,5,2,13,18,,
