Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Fresno Grizzlies,Triple-A,June,0,1,1.50,2,2,0,6.0,22,4,1,1,1,2,3,1.00
Corpus Christi Hooks,Double-A,July,0,0,0.00,1,1,0,4.1,17,1,2,0,0,2,5,0.69
Fresno Grizzlies,Triple-A,Pre All-Star,0,1,1.50,2,2,0,6.0,22,4,1,1,1,2,3,1.00
