BATTERS - PIT,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
"Reynolds, BCF",4,2,1,0,1,1,1,.216,.679
MitchellRF,5,1,2,1,0,1,2,.333,.777
Hayes3B,5,0,0,1,0,2,4,.272,.708
GamelDH,4,1,2,2,0,2,0,.269,.758
Chavis1B,2,1,0,0,1,2,2,.291,.807
VanMeter2B,4,1,2,3,0,0,3,.210,.639
"Castro, RSS",3,1,1,0,1,2,0,.220,.587
SuwinskiLF,3,2,1,3,1,1,2,.188,.657
HeinemanC,3,1,0,0,1,0,1,.160,.462
,33,10,9,10,5,11,15,,
