PITCHERS - PIT,IP,H,R,ER,BB,SO,HR,ERA
"Thompson, Z.R.",3.0,7,4,4,0,3,1,5.50
"Keller, M",3.1,5,1,1,1,2,0,6.05
"Peters(W, 4-2)",0.2,0,0,0,1,0,0,3.63
Crowe,1.0,0,0,0,0,1,0,2.33
"De Los Santos, Y",1.0,1,0,0,1,2,0,0.00
,9.0,13,5,5,3,8,1,
