PITCHERS - COL,IP,H,R,ER,BB,SO,HR,ERA
Feltner,5.0,3,2,2,2,7,0,5.40
"Gilbreath(H, 1)",0.2,0,1,1,1,1,0,8.71
"Estévez(BS, 1)",0.1,2,2,2,0,0,1,6.23
"Lawrence(L, 1-1)",1.0,3,4,4,1,2,1,5.52
Goudeau,1.0,1,1,1,1,1,0,6.62
,8.0,9,10,10,5,11,2,
