Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Tampa Bay Rays,MLB,vs Left,,,,31,,,71.2,309,80,,,8,11,64,1.27
Tampa Bay Rays,MLB,vs Right,,,,31,,,91.0,380,98,,,12,10,75,1.19
