PITCHERS - CIN,IP,H,R,ER,BB,SO,HR,ERA
"Greene, H(W, 2-6)",5.0,7,5,5,2,6,3,5.89
Hoffman,1.0,0,0,0,0,1,0,1.52
Kuhnel,2.0,1,0,0,0,1,0,1.13
Solomon,1.0,0,0,0,0,0,0,3.86
,9.0,8,5,5,2,8,3,
