PITCHERS - BOS,IP,H,R,ER,BB,SO,HR,ERA
"Sale(L, 0-1)",0.2,2,3,2,0,0,0,3.18
Sawamura,1.0,1,0,0,1,0,0,2.55
"Hernandez, D",0.2,0,0,0,1,1,0,3.86
Brasier,0.2,4,4,4,0,0,0,5.40
Diekman,1.0,3,4,4,2,2,1,4.54
Houck,1.0,1,0,0,1,0,0,3.15
Whitlock,1.0,0,0,0,0,2,0,3.31
Schreiber,1.0,2,2,2,0,0,1,1.60
Ort,1.0,1,0,0,1,1,0,3.86
,8.0,14,13,12,6,6,2,
