BATTERS - STL,AB,R,H,RBI,BB,SO,LOB,AVG,OPS
EdmanSS,6,1,1,2,0,1,4,.284,.785
Donovan2B,5,1,0,0,1,3,4,.326,.885
Goldschmidt1B,5,1,2,2,0,1,1,.346,1.052
"Herrera, IC",0,0,0,0,0,0,0,.000,.000
Arenado3B,4,1,2,3,1,1,1,.280,.857
"Sosa, E3B",0,0,0,0,0,0,0,.188,.468
GormanDH,4,1,1,1,0,1,2,.256,.768
a-PujolsPH-DH,1,0,0,0,0,1,1,.208,.670
O'NeillLF,4,3,3,1,1,0,0,.228,.628
CarlsonRF,4,1,1,1,1,2,4,.259,.728
BaderCF,5,1,3,0,0,0,1,.270,.704
KniznerC-1B,3,1,1,1,2,0,2,.196,.557
,41,11,14,11,6,10,20,,
