PITCHERS - STL,IP,H,R,ER,BB,SO,HR,ERA
"Hudson, D(W, 5-3)",5.0,4,2,2,5,3,0,3.31
"Thompson, Z.D.(H, 1)",3.0,0,0,0,0,4,0,4.50
McFarland,1.0,1,0,0,0,0,0,7.43
,9.0,5,2,2,5,7,0,
