Season,Team,Pos,PA,Depth (ft.),Angle
2019,PIT,9,1051,298,27
2019,PIT,8,870,323,0
2019,PIT,7,2742,302,-26
2020,PIT,8,544,315,1
2020,PIT,7,1338,297,-26
2021,PIT,7,599,298,-27
2021,PIT,8,4960,323,1
2022,PIT,7,45,305,-26
2022,PIT,8,4668,324,1
