Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2019,PIT,NL,LF,79,68,626.0,137,130,4,3,0,,.978
2019,PIT,NL,CF,25,25,188.0,49,49,0,0,0,,1.000
2019,PIT,NL,RF,31,29,241.0,59,58,0,1,0,,.983
2020,PIT,NL,LF,37,36,305.2,68,62,4,2,1,,.971
2020,PIT,NL,CF,17,15,129.1,34,33,1,0,0,,1.000
2020,PIT,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2021,PIT,NL,LF,17,17,139.0,31,30,1,0,0,,1.000
2021,PIT,NL,CF,137,131,1133.2,329,324,3,2,1,,.994
2021,PIT,NL,DH,1,1,0.0,0,0,0,0,0,,.000
2022,PIT,NL,LF,1,1,10.0,5,5,0,0,0,,1.000
2022,PIT,NL,CF,127,125,1063.0,281,277,2,2,1,,.993
2022,PIT,NL,DH,18,18,0.0,0,0,0,0,0,,.000
4 Seasons,PIT,NL,LF,134,122,1080.2,241,227,9,5,1,,.979
,PIT,NL,CF,306,296,2514.0,693,683,6,4,2,,.994
,PIT,NL,RF,31,29,241.0,59,58,0,1,0,,.983
,PIT,NL,DH,20,20,0.0,0,0,0,0,0,,.000
