Season,Outs Above Average,,Back Left,Back,Back Right,Back All,In Left,In,In Right,In All,Expected Catch Percentage (%),Actual Catch Percentage (%),Catch Percentage Added (%)
2019,2,,1,2,0,3,1,0,-2,-1,85,86,1
2020,1,,0,-1,1,0,1,1,-1,1,92,92,0
2021,11,,2,0,3,4,1,3,3,7,87,90,3
2022,-7,,0,-2,-6,-7,0,0,1,0,89,87,-2
