,PA,AB,R,H,HR,RBI,SB,AVG,OBP,SLG,OPS
2022,614,542,74,142,27,62,7,.262,.345,.461,.806
4 Seasons,2014,1777,274,500,74,239,16,.281,.361,.481,.842
