 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,147,92.8,89.5,--,--,--,--,--,--,--,--,99,88.7,48,--,--,--
2021,478,93.4,86.9,--,--,--,--,--,--,--,--,43,--,435,86.6,--,--
2022,373,95.1,89.5,--,--,--,--,--,--,--,--,4,--,369,89.5,--,--
