Season,Tm,LG,POS,G,GS,INN,TC,PO,A,E,DP,RF,FPCT%
2014,LAD,NL,2B,3,2,17.0,13,2,11,0,2,,1.000
2014,LAD,NL,3B,19,10,105.2,39,8,28,3,2,,.923
2014,LAD,NL,SS,66,25,283.2,146,41,101,4,25,,.973
2014,LAD,NL,LF,1,0,2.0,0,0,0,0,0,,.000
2015,MIA,NL,2B,9,4,36.0,16,9,7,0,1,,1.000
2015,MIA,NL,3B,9,6,57.0,18,3,14,1,0,,.944
2015,MIA,NL,SS,32,26,240.2,109,33,75,1,19,,.991
2016,MIA,NL,1B,41,3,104.1,97,85,12,0,9,,1.000
2016,MIA,NL,2B,45,14,170.2,69,25,44,0,5,,1.000
2016,MIA,NL,3B,16,1,43.0,11,1,10,0,1,,1.000
2016,MIA,NL,SS,33,26,208.2,126,46,76,4,18,,.968
2017,MIA,NL,1B,2,0,3.1,4,4,0,0,1,,1.000
2017,MIA,NL,2B,2,2,15.0,7,4,3,0,0,,1.000
2017,MIA,NL,3B,15,3,47.0,11,2,9,0,0,,1.000
2017,MIA,NL,SS,77,70,612.2,320,118,192,10,57,,.969
2018,MIA,NL,1B,49,5,102.0,99,89,9,1,14,,.990
2018,MIA,NL,2B,11,8,68.0,42,15,27,0,7,,1.000
2018,MIA,NL,3B,39,34,285.2,87,28,58,1,6,,.989
2018,MIA,NL,SS,83,78,657.1,320,123,195,2,31,,.994
2019,MIA,NL,1B,6,1,14.0,10,10,0,0,2,,1.000
2019,MIA,NL,2B,3,0,6.0,5,3,2,0,1,,1.000
2019,MIA,NL,SS,125,122,1060.2,476,178,287,11,74,,.977
2020,MIA,NL,1B,1,0,1.2,0,0,0,0,0,,.000
2020,MIA,NL,3B,1,1,3.0,1,0,1,0,0,,1.000
2020,MIA,NL,SS,39,37,309.0,165,49,113,3,30,,.982
2021,MIA,NL,SS,128,124,1073.0,485,191,283,11,80,,.977
2022,MIA,NL,1B,10,0,28.0,30,27,3,0,4,,1.000
2022,MIA,NL,SS,136,132,1113.2,531,184,340,7,74,,.987
9 Seasons,2 Teams,,2B,73,30,312.2,152,58,94,0,16,,1.000
,2 Teams,,3B,99,55,541.1,167,42,120,5,9,,.970
,2 Teams,,SS,719,640,5559.1,2678,963,1662,53,408,,.980
,LAD,NL,LF,1,0,2.0,0,0,0,0,0,,.000
,MIA,NL,1B,109,9,253.1,240,215,24,1,30,,.996
