Season,Bat Side,PA,Shifts,%,wOBA - No Shift,wOBA - Shift
2016,R,206,0,0.0,.265,
2017,R,299,1,0.3,.319,.000
2018,R,521,0,0.0,.279,
2019,R,524,0,0.0,.305,
2020,R,141,0,0.0,.379,
2021,R,539,32,5.9,.324,.104
2022,R,505,8,1.6,.269,.221
