Year,Team,Avg HR Trot,Actual HR,xHR,HR-xHR,Doubters,Mostly Gone,No Doubters,No Doubter %
2016,,20.1,1,1.0,0,1,0,1,100.0
2017,,24.5,1,1.0,0,1,0,1,100.0
2018,,22.1,11,10.6,0,1,5,7,63.6
2019,,21.2,5,5.5,-1,4,2,4,80.0
2020,,22.2,5,4.8,0,1,2,4,80.0
2021,,22.9,9,9.0,0,6,5,5,55.6
2022,,23.4,6,6.0,0,3,5,1,16.7
Player,,22.4,38,37.9,0,17,19,23,60.5
