 , , ,,Runs
Year,Team,PA,Pitches,Heart,Shadow,Chase,Waste,All
2014,,162,610,-5,-9,0,1,-13
2015,,156,557,-2,-3,0,2,-3
2016,,212,805,-8,-9,5,2,-9
2017,,299,"1,119",-10,0,7,4,1
2018,,525,"1,957",-1,-23,8,7,-9
2019,,524,"1,866",-14,-15,9,7,-12
2020,,160,602,2,0,4,3,9
2021,,539,"2,001",-16,-3,12,10,3
2022,,506,"1,815",-17,-11,10,7,-10
