PITCHERS - PHI,IP,H,R,ER,BB,SO,HR,ERA
"Nola, Aa(W, 8-8)",6.0,5,1,1,2,5,0,3.17
Brogdon,1.0,0,0,0,0,0,0,1.88
Domínguez,1.0,1,0,0,0,2,0,1.60
Robertson,1.0,1,0,0,1,1,0,2.13
,9.0,7,1,1,3,8,0,
