PITCHERS - LAD,IP,H,R,ER,BB,SO,HR,ERA
"White, M",5.2,1,1,0,4,6,0,3.38
Price,1.1,0,0,0,0,1,0,3.00
Almonte,1.0,0,0,0,0,0,0,1.66
"Kimbrel(W, 2-4)",1.0,0,0,0,0,0,0,4.61
,9.0,1,1,0,4,7,0,
