PITCHERS - SEA,IP,H,R,ER,BB,SO,HR,ERA
"Ray(W, 12-8)",6.0,6,0,0,0,3,0,3.45
Brash,1.0,1,0,0,1,0,0,4.81
"Muñoz, A",1.0,0,0,0,0,0,0,2.83
Sewald,1.0,2,0,0,0,1,0,2.47
,9.0,9,0,0,1,4,0,
