PITCHERS - CLE,IP,H,R,ER,BB,SO,HR,ERA
"Curry(L, 0-1)",4.1,5,4,3,5,0,1,5.79
Sandlin,0.2,1,0,0,1,1,0,2.02
Stephan,1.0,0,0,0,0,3,0,2.28
Karinchak,1.0,1,0,0,0,0,0,1.13
Clase,1.0,0,0,0,0,1,0,1.13
"De Los Santos, E",1.0,0,0,0,0,1,0,2.66
,9.0,7,4,3,6,6,1,
