 , , , ,1B, ,2B, ,3B, ,SS, ,LF, ,CF, ,RF
Year,Total Throws,Max,Overall,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm,Throws,Arm
2020,99,90.5,87.5,--,--,--,--,--,--,--,--,64,87.1,35,--,--,--
2021,247,91.7,85.3,--,--,--,--,--,--,--,--,236,85.0,11,--,--,--
2022,341,94.1,89.1,--,--,--,--,--,--,--,--,217,89.1,99,88.3,25,--
