 ,2+ Stars (0-90%), , , ,Components of Jump, , ,Jump
Year,Outs,Opp,%,OAA,Reaction,Burst,Route,Feet vs Avg,Feet Covered
2016,6,10,60,0,-1.2,1.1,1.1,1,34.5
2017,30,53,56.6,2,-1.9,0.3,0.6,-1.1,32.8
2018,35,60,58.3,5,-1.3,0.2,0.3,-0.7,33.3
2019,11,40,27.5,-8,-2,-0.9,0.5,-2.5,31.1
2020,9,21,42.9,-1,-0.7,0.1,0.6,0.1,33.3
2021,16,46,34.8,-3,-1.2,-0.2,0.2,-1.2,31.6
2022,30,62,48.4,-1,-1.1,-0.1,0.3,-0.9,32.6
