Season,Tm,LG,PA,TB,LOB,SAC,SF,BABIP,XBH,GIDP,GIDPO,NP,P/PA,K/PA,HR/PA,BB/K,ISO,ROE,WO
2012,AZ,NL,93,32,30,1,2,.257,7,2,8,365,3.925,.118,.022,.818,.148,0,0
2013,AZ,NL,482,181,161,3,1,.314,41,5,53,1853,3.844,.170,.017,.402,.140,4,0
2014,AZ,NL,287,132,103,1,0,.344,32,4,41,1068,3.721,.160,.024,.413,.196,5,1
2015,AZ,NL,673,303,213,0,9,.338,65,19,103,2361,3.508,.132,.030,.596,.182,5,0
2016,AZ,NL,46,16,16,0,0,.258,2,1,10,158,3.435,.174,.043,.625,.146,0,0
2017,AZ,NL,466,200,164,0,0,.291,53,8,68,1739,3.732,.152,.030,.493,.205,7,0
2018,AZ,NL,460,200,178,1,7,.284,47,6,63,1720,3.739,.217,.046,.310,.228,1,2
2019,LAD,NL,342,144,136,0,4,.300,31,7,54,1250,3.655,.216,.044,.311,.201,1,0
2020,LAD,NL,210,111,76,0,2,.277,25,6,33,746,3.552,.214,.076,.267,.291,1,0
2021,LAD,NL,422,206,163,0,2,.326,49,4,48,1465,3.472,.190,.050,.375,.240,2,0
2022,CWS,AL,527,190,226,0,4,.278,41,13,88,1837,3.486,.186,.027,.327,.143,3,0
11 Seasons,3 Teams,,4008,1715,1466,6,31,.306,393,75,569,14562,3.633,.176,.035,.401,.193,29,3
