PITCHERS - TOR,IP,H,R,ER,BB,SO,HR,ERA
Gausman,6.1,6,2,2,1,7,1,3.30
Cimber,0.2,0,0,0,0,0,0,2.96
"Garcia, Y",1.0,0,0,0,0,2,0,3.09
Romano,1.0,0,0,0,0,3,0,2.20
Bass,0.2,0,0,0,1,2,0,1.51
"Mayza(W, 8-0)",0.1,0,0,0,1,0,0,2.91
,10.0,6,2,2,3,14,1,
