Team,L,Type,W,L,ERA,G,GS,SV,IP,BF,H,R,ER,HR,BB,SO,WHIP
Albuquerque Isotopes,Triple-A,Home Games,0,0,4.05,2,1,0,6.2,25,6,3,3,2,0,11,0.90
Albuquerque Isotopes,Triple-A,Away Games,0,0,0.00,1,1,0,3.1,12,2,0,0,0,0,7,0.60
Albuquerque Isotopes,Triple-A,Day Games,0,0,4.50,1,0,0,2.0,7,1,1,1,1,0,2,0.50
Albuquerque Isotopes,Triple-A,Night Games,0,0,2.25,2,2,0,8.0,30,7,2,2,1,0,16,0.88
Albuquerque Isotopes,Triple-A,Leading Off,,,,3,,,3.0,11,2,,,0,0,6,0.67
Albuquerque Isotopes,Triple-A,Late / Close,,,,1,,,2.0,7,1,,,1,0,2,0.50
